Text,Result
사가정 모인 이비인후과 항상 만원이다,"긍정 확률: 45.89%, 부정 확률: 54.11%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
항상 친절한 진료 감사합니다~ ,"긍정 확률: 45.47%, 부정 확률: 54.53%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
ㅇㅇ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
의욕을 복돋아주십니다,"긍정 확률: 45.39%, 부정 확률: 54.61%"
굳,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절하게 상담을 잘해주네요.,"긍정 확률: 56.73%, 부정 확률: 43.27%"
ㄱㅅ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
진짜 명의세요,"긍정 확률: 44.32%, 부정 확률: 55.68%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
선생님이 꼼꼼하세요^^-,"긍정 확률: 49.82%, 부정 확률: 50.18%"
친절하게 설명 잘 해주시네요.,"긍정 확률: 55.09%, 부정 확률: 44.91%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
친절해요 ,"긍정 확률: 40.83%, 부정 확률: 59.17%"
조아유,"긍정 확률: 43.98%, 부정 확률: 56.02%"
"김용민원장님, 신명호 원장님  에게 진료받았어요~~ 친절하시고 설명도 잘해주세요~~","긍정 확률: 57.03%, 부정 확률: 42.97%"
친절하게 병에 대해 설명을 잘하셔오ㅡ,"긍정 확률: 44.79%, 부정 확률: 55.21%"
일반6인실인데 다른병원보다 입원실이넓다 입원선물!? 물통.양치세트.간식..수건도 받았다 간호.간병통합이라 보호자없어도되고 병실면회가 안되서 조용히 쉴수있었다 딱내스타일~  병원갈때 쓰던허리보호대는 갖고가보길 권장요내용 더보기,"긍정 확률: 56.99%, 부정 확률: 43.01%"
명의 입니다.,"긍정 확률: 56.46%, 부정 확률: 43.54%"
좋아요,"긍정 확률: 44.58%, 부정 확률: 55.42%"
 ,"긍정 확률: 36.55%, 부정 확률: 63.45%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
"치료기간이 6개월이 넘어 이제 끝났네요 갈때마다 묵묵히 치료 잘해주시는 원장님, 차근차근 설명 잘 해주시는 실장님,  진료실에서  친절하게 해 주시는  선생님들 다들 감사했습니다.","긍정 확률: 59.39%, 부정 확률: 40.61%"
봉화산역 근처 ,"긍정 확률: 40.16%, 부정 확률: 59.84%"
좋아요 ,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
어금니가 금이가고 크라운처리 너무 비싸다~~**,"긍정 확률: 45.68%, 부정 확률: 54.32%"
왠지 믿음이 가지않는 치과 ㅠ ,"긍정 확률: 48.07%, 부정 확률: 51.93%"
아주 친절해요,"긍정 확률: 43.13%, 부정 확률: 56.87%"
여기저기가 아프네 ㅠ,"긍정 확률: 45.67%, 부정 확률: 54.33%"
왜 이렇게 이가 속썩이는걸까??**,"긍정 확률: 49.73%, 부정 확률: 50.27%"
친절해요,"긍정 확률: 40.83%, 부정 확률: 59.17%"
의사간호사님 다들 좋아요,"긍정 확률: 44.31%, 부정 확률: 55.69%"
친철해요,"긍정 확률: 40.76%, 부정 확률: 59.24%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
데스크 친절하셔요,"긍정 확률: 44.30%, 부정 확률: 55.70%"
치료를 잘하세요,"긍정 확률: 43.52%, 부정 확률: 56.48%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
친절히 잘 봐주세요,"긍정 확률: 41.96%, 부정 확률: 58.04%"
굿,"긍정 확률: 44.58%, 부정 확률: 55.42%"
상담을 잘해주세요,"긍정 확률: 44.56%, 부정 확률: 55.44%"
